vendor_project,product,vulnerability_name,date_added,short_description,required_action,due_date,pub_date,cvss,cwe,vector,complexity,severity
4,18,48,2021-11-03,Unknown,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
4,18,48,2021-11-03,Unknown,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
4,18,48,2021-11-03,Unknown,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
5,292,73,2021-11-03,The REST Plugin in Apache Struts 2.1.1 through 2.3.x before 2.3.34 and 2.5.x before 2.5.13 contains a vulnerability which can lead to Remote Code Execution.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
5,117,57,2021-11-03,Apache HTTP server vulnerabilities allow an attacker to use a path traversal attack to map URLs to files outside the expected document root and perform Remote Code Execution.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
5,117,58,2021-11-03,"A flaw was found in a change made to path normalization in Apache HTTP Server 2.4.49. An attacker could use a path traversal attack to map URLs to files outside the directories configured by Alias-like directives. If files outside of these directories are not protected by the usual default configuration ""require all denied"", these requests can succeed. If CGI scripts are also enabled for these aliased pathes, this could allow for remote code execution. This issue is known to be exploited in the wild. This issue only affects Apache 2.4.49 and not earlier versions. The fix in Apache HTTP Server 2.4.50 was found to be incomplete, see CVE-2021-42013.",Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
5,117,59,2021-11-03,"In Apache HTTP Server 2.4 releases 2.4.17 to 2.4.38, with MPM event, worker or prefork, code executing in less-privileged child processes or threads (including scripts executed by an in-process scripting interpreter) could execute arbitrary code with the privileges of the parent process (usually root) by manipulating the scoreboard. Non-Unix systems are not affected.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
5,269,63,2021-11-03,"Apache Shiro before 1.2.5, when a cipher key has not been configured for the ""remember me"" feature, allows remote attackers to execute arbitrary code or bypass intended access restrictions via an unspecified request parameter.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
5,280,64,2021-11-03,"Apache Solr 5.0.0 to Apache Solr 8.3.1 are vulnerable to a Remote Code Execution through the VelocityResponseWriter. A Velocity template can be provided through Velocity templates in a configset `velocity/` directory or as a parameter. A user defined configset could contain renderable, potentially malicious, templates. Parameter provided templates are disabled by default, but can be enabled by setting `params.resource.loader.enabled` by defining a response writer with that setting set to `true`. Defining a response writer requires configuration API access. Solr 8.4 removed the params resource loader entirely, and only enables the configset-provided template rendering when the configset is `trusted` (has been uploaded by an authenticated user).",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
5,292,70,2021-11-03,"Forced OGNL evaluation, when evaluated on raw user input in tag attributes, may lead to remote code execution. Affected software : Apache Struts 2.0.0 - Struts 2.5.25.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
5,292,72,2021-11-03,"The Jakarta Multipart parser in Apache Struts 2 2.3.x before 2.3.32 and 2.5.x before 2.5.10.1 has incorrect exception handling and error-message generation during file-upload attempts, which allows remote attackers to execute arbitrary commands via a crafted Content-Type, Content-Disposition, or Content-Length HTTP header, as exploited in the wild in March 2017 with a Content-Type header containing a #cmd= string.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
5,292,69,2021-11-03,Apache Struts versions 2.3 to 2.3.34 and 2.5 to 2.5.16 contain a vulnerability which can allow for remote code execution.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
6,360,78,2021-11-03,Apple iOS and iPadOS Arbitrary Code Execution,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,93,79,2021-11-03,"A logic issue existed in the handling of Group FaceTime calls. The issue was addressed with improved state management. This issue is fixed in iOS 12.1.4, macOS Mojave 10.14.3 Supplemental Update. The initiator of a Group FaceTime call may be able to cause the recipient to answer.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
6,358,92,2021-11-03,An integer overflow was addressed with improved input validation vulnerability affecting iOS devices that allows for remote code execution.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,361,103,2021-11-03,A memory corruption issue was addressed with improved input validation. Processing a maliciously crafted font may lead to arbitrary code execution.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
6,361,106,2021-11-03,Unknown,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,361,104,2021-11-03,A malicious application may be able to disclose kernel memory.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
6,361,105,2021-11-03,A malicious application may be able to execute arbitrary code with kernel privileges.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
6,359,95,2021-11-03,Processing a maliciously crafted mail message may lead to unexpected memory modification or application termination.,Apply updates per vendor instructions.,2022-05-03,2020-06-09,8.8,CWE-787,NETWORK,LOW,1
6,359,94,2021-11-03,Processing a maliciously crafted mail message may lead to heap corruption.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
6,358,89,2021-11-03,Use after free issue. Processing maliciously crafted web content may lead to arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,358,97,2021-11-03,A malicious application may be able to elevate privileges. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,358,97,2021-11-03,A remote attacker may be able to cause arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,358,97,2021-11-03,A remote attacker may be able to cause arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,358,98,2021-11-03,Processing maliciously crafted web content may lead to universal cross site scripting. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,358,100,2021-11-03,Processing maliciously crafted web content may lead to arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,358,111,2021-11-03,Processing maliciously crafted web content may lead to arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,365,112,2021-11-03,A malicious application may be able to bypass Privacy preferences. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,365,115,2021-11-03,A malicious application may bypass Gatekeeper checks. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,2021-11-17,2021-09-08,5.5,NVD-CWE-noinfo,LOCAL,LOW,2
6,259,86,2021-11-03,Processing maliciously crafted web content may lead to arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,259,87,2021-11-03,Integer overflow. Processing maliciously crafted web content may lead to arbitrary code execution.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,358,88,2021-11-03,Memory corruption issue. Processing maliciously crafted web content may lead to arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,363,91,2021-11-03,Apple XNU kernel contains a type confusion vulnerability which allows a malicious application to execute arbitrary code with kernel privileges.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
6,360,77,2021-11-03,A memory consumption issue was addressed with improved memory handling. An application may be able to execute arbitrary code with kernel privileges.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
7,36,116,2021-11-03,A path traversal vulnerability in Arcadyan firmware could allow unauthenticated remote attackers to bypass authentication. It impacts many routers.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
9,26,120,2021-11-03,"In Arm Trusted Firmware M through 1.2, the NS world may trigger a system halt, an overwrite of secure data, or the printing out of secure data when calling secure functions under the NSPE handler mode. This vulnerability has known active exploitation against Yealink Device Management servers. It is assessed this product utilizes the affected Arm firmware.",Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
9,164,118,2021-11-03,"The Arm Mali GPU kernel driver allows privilege escalation or a denial of service (memory corruption) because an unprivileged user can achieve read/write access to read-only pages. This affects Bifrost r0p0 through r28p0 before r29p0, Valhall r19p0 through r28p0 before r29p0, and Midgard r8p0 through r30p0.",Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
9,164,119,2021-11-03,"The Arm Mali GPU kernel driver allows privilege escalation or information disclosure because GPU memory operations are mishandled, leading to a use-after-free. This affects Bifrost r0p0 through r28p0 before r29p0, Valhall r19p0 through r28p0 before r29p0, and Midgard r4p0 through r30p0.",Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
11,53,123,2021-11-03,"Confluence Server and Data Center had a path traversal vulnerability in the downloadallattachments resource. A remote attacker who has permission to add attachments to pages and / or blogs or to create a new space or a personal space or who has 'Admin' permissions for a space can exploit this path traversal vulnerability to write files to arbitrary locations which can lead to remote code execution on systems that run a vulnerable version of Confluence Server or Data Center. All versions of Confluence Server from 2.0.0 before 6.6.13 (the fixed version for 6.6.x), from 6.7.0 before 6.12.4 (the fixed version for 6.12.x), from 6.13.0 before 6.13.4 (the fixed version for 6.13.x), from 6.14.0 before 6.14.3 (the fixed version for 6.14.x), and from 6.15.0 before 6.15.2 are affected by this vulnerability.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
11,54,124,2021-11-03,"Atlassian Confluence Server The affected versions are before version 6.13.23, from version 6.14.0 before 7.4.11, from version 7.5.0 before 7.11.6, and from version 7.12.0 before 7.12.5 contains an OGNL injection vulnerability which allows an attacker to execute arbitrary code.",Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
11,58,127,2021-11-03,"Atlassian Crowd and Crowd Data Center had the pdkinstall development plugin incorrectly enabled in release builds. Attackers who can send unauthenticated or authenticated requests to a Crowd or Crowd Data Center instance can exploit this vulnerability to install arbitrary plugins, which permits remote code execution on systems running a vulnerable version of Crowd or Crowd Data Center. All versions of Crowd from version 2.1.0 before 3.0.5, from version 3.1.0 before 3.1.6, from version 3.2.0 before 3.2.8, from version 3.3.0 before 3.3.5, and from version 3.4.0 before 3.4.4 are affected by this vulnerability.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
11,27,568,2021-11-03,Allows remote attackers to achieve path traversal and remote code execution on a Confluence Server or Data Center instance via server-side template injection.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
13,32,131,2021-11-03,"BQE BillQuick Web Suite 2018 through 2021 prior to 22.0.9.1 allows SQL injection for unauthenticated remote code execution, as exploited in the wild in October 2021 for ransomware installation.",Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,12,146,2021-11-03,"A vulnerability in the web services interface of Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to conduct directory traversal attacks and read sensitive files on a targeted system. The vulnerability is due to a lack of proper input validation of URLs in HTTP requests processed by an affected device. An attacker could exploit this vulnerability by sending a crafted HTTP request containing directory traversal character sequences to an affected device. A successful exploit could allow the attacker to view arbitrary files within the web services file system on the targeted device. The web services file system is enabled when the affected device is configured with either WebVPN or AnyConnect features. This vulnerability cannot be used to obtain access to ASA or FTD system files or underlying operating system (OS) files.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
16,12,142,2021-11-03,"Multiple vulnerabilities in the web services interface of Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to conduct cross-site scripting (XSS) attacks against a user of the web services interface of an affected device. The vulnerabilities are due to insufficient validation of user-supplied input by the web services interface of an affected device. An attacker could exploit these vulnerabilities by persuading a user of the interface to click a crafted link. A successful exploit could allow the attacker to execute arbitrary script code in the context of the interface or allow the attacker to access sensitive, browser-based information. Note: These vulnerabilities affect only specific AnyConnect and WebVPN configurations.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
16,121,151,2021-11-03,"Multiple vulnerabilities in the web-based management interface of Cisco HyperFlex HX could allow an unauthenticated, remote attacker to perform command injection attacks against an affected device.",Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,121,151,2021-11-03,"Multiple vulnerabilities in the web-based management interface of Cisco HyperFlex HX could allow an unauthenticated, remote attacker to perform command injection attacks against an affected device.",Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
16,128,175,2021-11-03,"A vulnerability in the Smart Install feature of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to trigger a reload of an affected device, resulting in a denial of service (DoS) condition, or to execute arbitrary code on an affected device. The vulnerability is due to improper validation of packet data. An attacker could exploit this vulnerability by sending a crafted Smart Install message to an affected device on TCP port 4786. A successful exploit could allow the attacker to cause a buffer overflow on the affected device, which could have the following impacts: Triggering a reload of the device, Allowing the attacker to execute arbitrary code on the device, Causing an indefinite loop on the affected device that triggers a watchdog crash. Cisco Bug IDs: CSCvg76186.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
16,127,168,2021-11-03,"A vulnerability in the Cisco Discovery Protocol implementation for Cisco IOS XR Software could allow an unauthenticated, adjacent attacker to execute arbitrary code or cause a reload on an affected device. The vulnerability is due to improper validation of string input from certain fields in Cisco Discovery Protocol messages. An attacker could exploit this vulnerability by sending a malicious Cisco Discovery Protocol packet to an affected device. A successful exploit could allow the attacker to cause a stack overflow, which could allow the attacker to execute arbitrary code with administrative privileges on an affected device. Cisco Discovery Protocol is a Layer 2 protocol. To exploit this vulnerability, an attacker must be in the same broadcast domain as the affected device (Layer 2 adjacent).",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
16,127,169,2021-11-03,"A vulnerability in the Distance Vector Multicast Routing Protocol (DVMRP) feature of Cisco IOS XR Software could allow an unauthenticated, remote attacker to exhaust process memory of an affected device. The vulnerability is due to insufficient queue management for Internet Group Management Protocol (IGMP) packets. An attacker could exploit this vulnerability by sending crafted IGMP traffic to an affected device. A successful exploit could allow the attacker to cause memory exhaustion, resulting in instability of other processes. These processes may include, but are not limited to, interior and exterior routing protocols.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
16,127,169,2021-11-03,"Multiple vulnerabilities in the Distance Vector Multicast Routing Protocol (DVMRP) feature of Cisco IOS XR Software could allow an unauthenticated, remote attacker to either immediately crash the Internet Group Management Protocol (IGMP) process or make it consume available memory and eventually crash. The memory consumption may negatively impact other processes that are running on the device. These vulnerabilities are due to the incorrect handling of IGMP packets. An attacker could exploit these vulnerabilities by sending crafted IGMP traffic to an affected device. A successful exploit could allow the attacker to immediately crash the IGMP process or cause memory exhaustion, resulting in other processes becoming unstable. These processes may include, but are not limited to, interior and exterior routing protocols.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
16,132,179,2021-11-03,"A vulnerability in the web server for Cisco IP Phones could allow an unauthenticated, remote attacker to execute code with root privileges or cause a reload of an affected IP phone, resulting in a denial of service (DoS) condition. The vulnerability is due to a lack of proper input validation of HTTP requests. An attacker could exploit this vulnerability by sending a crafted HTTP request to the web server of a targeted device. A successful exploit could allow the attacker to remotely execute code with root privileges or cause a reload of an affected IP phone, resulting in a DoS condition.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
16,235,182,2021-11-03,"A vulnerability in the web-based management interface of Cisco Small Business RV320 and RV325 Dual Gigabit WAN VPN Routers could allow an unauthenticated, remote attacker to retrieve sensitive information. The vulnerability is due to improper access controls for URLs. An attacker could exploit this vulnerability by connecting to an affected device via HTTP or HTTPS and requesting specific URLs. A successful exploit could allow the attacker to download the router configuration or detailed diagnostic information.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
16,12,145,2021-11-03,"A vulnerability in the web interface of the Cisco Adaptive Security Appliance (ASA) could allow an unauthenticated, remote attacker to cause an affected device to reload unexpectedly, resulting in a denial of service (DoS) condition. It is also possible on certain software releases that the ASA will not reload, but an attacker could view sensitive system information without authentication by using directory traversal techniques. The vulnerability is due to lack of proper input validation of the HTTP URL. An attacker could exploit this vulnerability by sending a crafted HTTP request to an affected device. An exploit could allow the attacker to cause a DoS condition or unauthenticated disclosure of information. This vulnerability applies to IPv4 and IPv6 HTTP traffic. This vulnerability affects Cisco ASA Software and Cisco Firepower Threat Defense (FTD) Software that is running on the following Cisco products: 3000 Series Industrial Security Appliance (ISA), ASA 1000V Cloud Firewall, ASA 5500 Series Adaptive Security Appliances, ASA 5500-X Series Next-Generation Firewalls, ASA Services Module for Cisco Catalyst 6500 Series Switches and Cisco 7600 Series Routers, Adaptive Security Virtual Appliance (ASAv), Firepower 2100 Series Security Appliance, Firepower 4100 Series Security Appliance, Firepower 9300 ASA Security Module, FTD Virtual (FTDv). Cisco Bug IDs: CSCvi16029.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
17,291,193,2021-11-03,Citrix StoreFront Server contains a XXE processing vulnerability that could allow an unauthenticated attacker to retrieve potentially sensitive information.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
17,24,187,2021-11-03,"Improper access control in Citrix ADC and Citrix Gateway versions before 13.0-58.30, 12.1-57.18, 12.0-63.21, 11.1-64.14 and 10.5-70.18 and Citrix SDWAN WAN-OP versions before 11.1.1a, 11.0.3d and 10.2.7 allows unauthenticated access to certain URL endpoints.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
17,24,187,2021-11-03,"Application Delivery Controller (ADC), Gateway, and SDWAN WANOP",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
17,24,187,2021-11-03,"Improper access control in Citrix ADC and Citrix Gateway versions before 13.0-58.30, 12.1-57.18, 12.0-63.21, 11.1-64.14 and 10.5-70.18 and Citrix SDWAN WAN-OP versions before 11.1.1a, 11.0.3d and 10.2.7 resulting in limited information disclosure to low privileged users.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
17,23,188,2021-11-03,"Issue in Citrix Application Delivery Controller (ADC) and Gateway 10.5, 11.1, 12.0, 12.1, and 13.0 allowing Directory Traversal.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
17,350,194,2021-11-03,Citrix Workspace app and Receiver for Windows prior to version 1904 contains an incorrect access control vulnerability which allows for code execution.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
20,66,203,2021-11-03,D-Link DIR-825 R1 devices through 3.0.1 before 2020-11-20 contain a vulnerability in the web interface allowing for remote code execution.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
20,67,204,2021-11-03,"D-Link DNS-320 FW v2.06B01 Revision Ax is affected by command injection in the system_mgr.cgi component, which can lead to remote arbitrary code execution.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
25,76,217,2021-11-03,DNN (aka DotNetNuke) 9.2 through 9.2.1 uses a weak encryption algorithm to protect input parameters.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
25,76,217,2021-11-03,DNN (aka DotNetNuke) 9.2 through 9.2.2 uses a weak encryption algorithm to protect input parameters. NOTE: this issue exists because of an incomplete fix for CVE-2018-15811.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
25,76,218,2021-11-03,"DNN (aka DotNetNuke) before 9.1.1 has Remote Code Execution via a cookie, aka ""2017-08 (Critical) Possible remote code execution on DNN sites.""",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
26,73,216,2021-11-03,"Docker Desktop Community Edition before 2.1.0.1 allows local users to gain privileges by placing a Trojan horse docker-credential-wincred.exe file in %PROGRAMDATA%\DockerDesktop\version-bin\ as a low-privilege user, and then waiting for an admin or service user to authenticate with Docker, restart Docker, or run 'docker login' to force the command.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
28,325,219,2021-11-03,"DrayTek Vigor2960 1.3.1_Beta, Vigor3900 1.4.4_Beta, and Vigor300B 1.3.3_Beta, 1.4.2.1_Beta, and 1.4.4_Beta devices allow remote code execution as root (without authentication) via shell metacharacters to the cgi-bin/mainfunction.cgi URI.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
29,77,222,2021-11-03,"Drupal before 7.58, 8.x before 8.3.9, 8.4.x before 8.4.6, and 8.5.x before 8.5.1 allows remote attackers to execute arbitrary code because of an issue affecting multiple subsystems with default or common module configurations.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
32,87,253,2021-11-03,Anyone with the ability to upload an image that goes through the GitLab Workhorse could achieve Remote Code Execution via a specially crafted file.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
33,89,227,2021-11-03,"Issue in the base64d function in the SMTP listener in Exim before 4.90.1. By sending a handcrafted message, a buffer overflow may happen. This can be used to execute code remotely.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
34,91,232,2021-11-03,"Issue in EyesOfNetwork 5.3. The installation uses the same API key (hardcoded as EONAPI_KEY in include/api_functions.php for API version 2.4.2) by default for all installations, hence allowing an attacker to calculate/guess the admin access token.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
34,91,233,2021-11-03,"Issue in EyesOfNetwork 5.3. The sudoers configuration is prone to a privilege escalation vulnerability, allowing the apache user to run arbitrary commands as root via a crafted NSE script for nmap 7.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
35,30,236,2021-11-03,"In BIG-IP versions 15.0.0-15.1.0.3, 14.1.0-14.1.2.5, 13.1.0-13.1.3.3, 12.1.0-12.1.5.1, and 11.6.1-11.6.5.1, the Traffic Management User Interface (TMUI), also referred to as the Configuration utility, has a Remote Code Execution (RCE) vulnerability in undisclosed pages.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
35,30,237,2021-11-03,The iControl REST interface has an unauthenticated remote command execution vulnerability.,Apply updates per vendor instructions.,2021-11-17,2021-03-31,9.8,CWE-918,NETWORK,LOW,0
37,5,239,2021-11-03,"ForgeRock AM server before 7.0 has a Java deserialization vulnerability in the jato.pageSession parameter on multiple pages. The exploitation does not require authentication, and remote code execution can be triggered by sending a single crafted /ccversion/* request to the server.",Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
38,104,241,2021-11-03,A Default Configuration vulnerability in FortiOS may allow an unauthenticated attacker on the same subnet to intercept sensitive information by impersonating the LDAP server.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
38,104,242,2021-11-03,"An improper authentication vulnerability in SSL VPN in FortiOS 6.4.0, 6.2.0 to 6.2.3, 6.0.9 and below may result in a user being able to log in successfully without being prompted for the second factor of authentication (FortiToken) if they changed the case of their username.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
